Педагог дополнительного образования (программирование scratch/python, робототехника lego) | Будьте первым | от 18000 руб. | Проведение образовательных программ на доп. площадке центра - в п. Ильинское и в г. Жуковский МО. Контроль выполнения учениками…Коммуникабельность, грамотно поставленная речь. Наличие мед.книжки. Желание развиваться и повышать квалификацию. Наличие… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818691.html
Инженер Программист | Доступно студентам | 0 руб | Автоматизация процессов обработки и распространения данных потребителям с космических аппаратов. Программирование на языке…Образование высшее (обучение на последних курсах бакалавриата, вечернее отделение). Навыки работы с ОС Linux (Cent OS, open… | https://russia.superjob.ru/vakansii/inzhener-programmist-43147987.html
Разработчик 1С | Удаленная работа | до 110000 руб. | Разработка программного обеспечения. Документирование программного обеспечения (техническое, пользовательское). Оптимизация…Высшее образование. Опыт разработки на 1С8.x. Опыт использования СКД. Опыт разработки HTTP-сервисов. Опыт разработки/орг… | https://russia.superjob.ru/vakansii/razrabotchik-1s-44611122.html
Программист, наставник-тьютор | None | от 85000 руб. | Транслирование программ КиберШколы по методическим пособиям и передача практического опыта для нового it-поколения от 6 до 14 лет1.Профессиональное владение одним или несколькими инструментами. HTML, JavaScript + конструктор (platforma LP/Tilda/Wix)… | https://russia.superjob.ru/vakansii/programmist-44718421.html
Преподаватель | Доступно студентам | до 70000 руб. | Число вакансий программистов превышает само количество программистов, и поэтому спрос на образовательные услуги в данном…Опыт работы с детьми (аниматор, репетитор, воспитатель, вожатый, учитель, опытный родитель или старший брат/сестра). Уверенное… | https://russia.superjob.ru/vakansii/prepodavatel-44603518.html
Специалист службы поддержки (с техническими знаниями) | Удаленная работа | от 15000 руб. | Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию…Грамотно пишете по-русски. Умеете четко и структурированно излагать мысли. Легко находите главную информацию в текстах разного… | https://russia.superjob.ru/vakansii/specialist-sluzhby-podderzhki-37985817.html
Океанолог-гидрометеоролог | None | 0 руб | Участие в проектах по математическому моделированию в рамках выполнения инженерных изысканий. Работа в составе одной из команд…Образование высшее профессиональное (океанология, метеорология, гидрометеорология, полярные и морские исследования). Английский… | https://russia.superjob.ru/vakansii/okeanolog-gidrometeorolog-44095382.html
Middle/Senior QA Automation Engineer | Удаленная работа | 0 руб | Разработка тест-планов и тест-кейсов. Участие в регрессионном, интеграционном, нагрузочном, smoke тестах. Автоматическое…Опыт разработки АТ-фреймворка с нуля. Способность грамотно подобрать подходы и инструменты для выстраивания процесса тестирования | https://russia.superjob.ru/vakansii/middle-43470739.html
Инженер | None | 0 руб | Анализ возможности и реализация сбора данных, значимых с точки зрения информационной безопасности, с объектов защиты. Анализ…Hard skills. Знание современных операционных систем на уровне администратора (MS Windows и GNU / Linux : Debian , Red- Hat- like) | https://russia.superjob.ru/vakansii/inzhener-44581966.html
Web Developer | None | 0 руб | Разрабатывать frontend сервиса megafon. Анализировать требования к программному обеспечению и планировать сроки исполненияОпыт программирования от 5 лет. Опыт кроссбраузерной вёрстки на HTML5/CSS3. Опыт использования чистого JavaScript. Знание… | https://russia.superjob.ru/vakansii/web-developer-43582301.html
Backend Developer | None | 0 руб | Разработка и внедрение новых функций сервиса. Поддержка и развитие архитектуры программных решений. Оптимизация и повышение…Опыт разработки на Go. Опыт разработки от 3 лет на одном или нескольких языках: Python, C++, PHP, Ruby. Опыт использования… | https://russia.superjob.ru/vakansii/backend-developer-43582299.html
SRE-инженер | None | 0 руб | Деплой новых серверов. Проведение изменений в инфраструктуре. Планирование и проведение работ по обслуживанию инфраструктурыХорошее знание Linux систем. Опыт работы с одной из систем управления конфигурацией. Понимание принципов работы компьютерных… | https://russia.superjob.ru/vakansii/sre-inzhener-44687398.html
Research Developer | Удаленная работа | 0 руб | Основной задачей будет: формирование научно-технического задела в решении практических задач с использованием импульсных…Python. Docker. Знание Английского не ниже B1, необходимо будет анализировать научные статьи. С++. Знакомство с импульсными… | https://russia.superjob.ru/vakansii/research-developer-43582228.html
Data-scientist | None | 0 руб | Работа с базами данных (объединить несколько таблиц, отфильтровать по нескольким критериям, вытащить результат, например,…TensorFlow/Keras/PyTorch (умение построить типичный код для обучения, загрузить данные, создать и обучить модель, протестировать… | https://russia.superjob.ru/vakansii/data-scientist-44814788.html
Архитектор по кибербезопасности, инженер | None | 0 руб | Отвечает за надежность работы EdgeЦентр в направлении киберзащиты. Участвует в разработке стратегии и архитектуры безопасных…Высшее образование в области компьютерных наук/инженерии, компьютерные информационные системы, компьютерная криминалистика… | https://russia.superjob.ru/vakansii/arhitektor-po-kiberbezopasnosti-44250950.html
Старший архитектор облачных решений | None | 0 руб | Проводить технические презентации. Консультировать клиентов по архитектурным и стратегическим IT-решениям. Участвовать в…Высшее образование. Опыт работы с облачными продуктами и технологиями от 3 лет. Знание bash/python на уровне автоматизации… | https://russia.superjob.ru/vakansii/starshij-arhitektor-oblachnyh-reshenij-44250949.html
Системный инженер (DevOps) | Опыт не нужен | 0 руб | Основная задача - поддержка операционной работы инфраструктуры разрабатываемого компанией сервиса на платформе java. Поиск…Знание операционной системы Linux, желательно Ubuntu. Опыт виртуализации на базе kvm/libvirt. Знание веб-серверов nginx и haproxy | https://russia.superjob.ru/vakansii/sistemnyj-inzhener-44172046.html
Разработчик Phyton | None | 0 руб | Разработка backend/ front. Формирование, согласование и стандартизация подходов в разработке, выстраивание процессов. Ведение…Docker, PostgreSQL, Mongo DB,Django3,Python, JavaScript | https://russia.superjob.ru/vakansii/razrabotchik-phyton-44199688.html
Machine Learning Engineer | None | до 200000 руб. | Разработка технологии синтеза речи. Построение пайплайнов по пред- и постобработке данных. Реализация voice conversion, voice…Опыт работы над проектами DL: от 2 лет. Опыт решения задач, связанных с оптимизацией производительности DL-моделей. Опыт… | https://russia.superjob.ru/vakansii/machine-learning-engineer-43878408.html
DevOps / MLOps Engineer | None | 200000 — 240000 руб. | Администрирование CI/CD платформы, внедрение Canary Deployments и A/B тестов на основе сервис-меша. Деплой и сопровождение…Опыт настройки и администрирования компонентов микросервисной архитектуры с использованием GPU (Docker, Kubernetes, Nginx… | https://russia.superjob.ru/vakansii/devops-43878412.html
Middle разработчик (frontend) | Удаленная работа | до 250000 руб. | Развитие веб-клиента (Angular) к функционально насыщенной логистической платформе (Python/Django). Выпуск функционала в запланированные…Уверенные знания и личный опыт разработки на требуемом стеке от 2-х лет. Навыки кросс-браузерной адаптивной вёрстки web-компонентов… | https://russia.superjob.ru/vakansii/middle-razrabotchik-43320754.html
Инженер отдела поддержки проектов (DevOps инженер) | None | 0 руб | Поддерживать и развивать базовую инфраструктуру (мониторинг, логирование, etc). Поддерживать и развивать инфраструктуру проектов…Уверенные знания Linux. Понимание принципов работы сети (TCP/IP). Опыт работы с Puppet/Ansible/etc. Опыт работы с Nginx. Опыт… | https://russia.superjob.ru/vakansii/inzhener-otdela-podderzhki-proektov-44557602.html
NetOps инженер | None | 0 руб | Развитие и автоматизация инфраструктурных сервисов. Эксплуатация сетей в условиях облака. Работа с сетевым оборудованием (…Навыки и опыт администрирования Unix-систем. Понимание работы openvswitch. Понимание стека ТСP/IP. Опыт программирования, Python | https://russia.superjob.ru/vakansii/netops-inzhener-44229936.html
Инженер-схемотехник | None | от 60000 руб. | Проектирование устройств для нужд оптической лаборатории (стабилизация оптических сигналов, магнитного поля, управления лазерными…Образование- высшее, в области аналоговой электроники, радиоэлектроники, наноэлектроники. Опыт работы от 3-х лет, умение… | https://russia.superjob.ru/vakansii/inzhener-shemotehnik-38000105.html
Техник (дозиметрия) | None | от 35000 руб. | Участие в организации обслуживания ядерно-физического и иного оборудования в лаборатории нейтронных измерений. Работа с измерительным…Высшее или незаконченное техническое образование по специальностям: ядерная физика, экспериментальная ядерная физика, физика… | https://russia.superjob.ru/vakansii/tehnik-41889237.html
Java-программист | Опыт не нужен | 0 руб | Разработка дашбордов (аналитической инфографики) на JS. Внесение изменений в код существующих дашбордов (JS)JavaScript, CCS. Умение работать в ОС Linux. Знание Python любого уровня. Умение работы с различным СУБД | https://russia.superjob.ru/vakansii/java-programmist-44548423.html
Инженер (инженеры 1 категории, 2 категории) | None | от 60000 руб. | Разработка и настройка оптомеханических систем для глубокого охлаждения атомов. Настройка лазерных систем. Работа с устройствами…Образование высшее по специальности оптика, оптоэлектроника, лазерная техника, лазерные технологии, квантовая электроника… | https://russia.superjob.ru/vakansii/inzhener-41889027.html
Заместитель руководителя направления DevOps | Удаленная работа | 0 руб | Разработка скриптов DevOps. Настройка и конфигурация развертывания приложений на сервера. Анализ и исправление некорректной…CI (Github CI Actions, Jenkins CI/CD, ansible), по любой, опыт не менее 2 лет. Logs (ELK + grook pattern use), не менее 2 лет | https://russia.superjob.ru/vakansii/zamestitel-rukovoditelya-napravleniya-devops-44544527.html
Инженер-программист встраиваемых систем | None | 0 руб | Личная эффективность и контролируемый перфекционизмВысшее образование. Опыт программирования на C или C++ от 2 лет. Умение работать с системой контроля версий (Git). Навыки… | https://russia.superjob.ru/vakansii/inzhener-programmist-vstraivaemyh-sistem-44718631.html
Дата-аналитик | None | 0 руб | Создание ETL инструментов. Создание и оптимизация SQL запросов, проектирование баз данных. Создание витрин данных на базе DjangoВладение Python|Django. Навыки проектирования моделей данных. Навыки интроспекции баз данных. Имеет навыки отрисовки графиков… | https://russia.superjob.ru/vakansii/data-analitik-44280581.html
Data Engineer (Middle/Senior) | None | до 400000 руб | Разрабатывать и поддерживать микросервисы. Разрабатывать и оптимизировать пайплайны. Разработка мониторинга и алертинга. | https://hh.ru/vacancy/69464622
Computer Vision Engineer (junior+, middle) | None | 0 руб | Разработка новых и улучшение существующих алгоритмов компьютерного зрения в задачах распознавания объектов, людей, поз и анализа действий. Изучение и анализ... | https://hh.ru/vacancy/70287955
Разработчик (JS, Python) | Опыт не нужен | 0 руб | Сбор и формализация требований заказчика. Анализ и работа с данными, создание загрузчиков. Создание дашбордов на платформе Visiology. Участие в разработке... | https://hh.ru/vacancy/70343886
Python developer | None | 0 руб | Анализ API сторонних сервисов и доработка собственного. Реализация stateless микросервисов. Разработка внутренних библиотек. Оптимизация узких мест в основной архитектуре продукта. | https://hh.ru/vacancy/67445757
Разработчик Python | Удаленная работа | 0 руб | Проектирование компонентов систем. Организация процесса разработки. Написание и ревью кода. Наставление менее опытных коллег. | https://hh.ru/vacancy/70515076
